EmployeeID,Department,JobRole,Age,Gender,Education,MaritalStatus,YearsExperience,YearsAtCompany,MonthlySalary,DistanceFromHome,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,PromotionLast5Years,TrainingTimesLastYear,Attrition,TenureBucket,Attrition_Flag,OverTime_Flag
EMP01138,Engineering,Software Engineer,25.0,Female,Bachelor's,Married,2,2,75101.93,4.6,No,2.0,2.0,1,0,5,Yes,2-3 yrs,1,0
EMP00223,Hr,Recruiter,30.0,Female,Bachelor's,Divorced,12,4,64009.38,12.2,No,3.0,4.0,4,0,0,No,4-6 yrs,0,0
EMP00974,Hr,HR Manager,32.0,Male,Bachelor's,Divorced,6,2,60806.91,0.3,No,2.0,4.0,3,0,5,No,2-3 yrs,0,0
EMP01371,Support,Support Lead,21.0,Male,Bachelor's,Married,0,0,40150.05,1.4,No,2.0,3.0,3,0,4,No,0-1 yrs,0,0
EMP00940,Finance,Finance Manager,44.0,Female,Bachelor's,Married,23,0,100343.77,11.5,Yes,4.0,4.0,3,1,2,No,0-1 yrs,0,1
EMP00311,Finance,Accountant,30.0,Male,PhD,Divorced,4,0,96124.3,2.5,Yes,3.0,2.0,4,0,0,No,0-1 yrs,0,1
EMP00361,Hr,HR Executive,36.0,Female,Master's,Married,18,0,92896.9,21.6,Yes,4.0,2.0,3,0,0,Yes,0-1 yrs,1,1
EMP00309,Sales,Sales Executive,29.0,Female,PhD,Single,6,2,92682.51,4.9,No,3.0,4.0,4,0,4,Yes,2-3 yrs,1,0
EMP01242,Support,Support Executive,26.0,Female,High School,Divorced,0,0,34194.75,16.8,No,1.0,3.0,3,0,1,No,0-1 yrs,0,0
EMP00019,Engineering,Software Engineer,21.0,Female,Master's,Married,0,0,76293.09,5.0,No,1.0,3.0,3,0,1,No,0-1 yrs,0,0
EMP00777,Hr,HR Executive,32.0,Female,Master's,Divorced,4,4,68730.42,3.2,Yes,2.0,2.0,4,0,1,Yes,4-6 yrs,1,1
EMP00677,Engineering,Senior Engineer,47.0,Female,High School,Married,22,2,99426.21,26.0,Yes,3.0,3.0,2,0,0,No,2-3 yrs,0,1
EMP00383,Engineering,Engineering Manager,37.0,Female,Bachelor's,Married,19,4,110281.71,15.1,No,4.0,1.0,1,0,5,No,4-6 yrs,0,0
EMP00492,Sales,Account Manager,46.0,Male,High School,Divorced,28,4,96183.49,0.6,No,3.0,4.0,2,1,4,No,4-6 yrs,0,0
EMP00718,Sales,Sales Manager,27.0,Female,PhD,Married,1,1,78995.08,7.0,No,2.0,2.0,3,0,2,Yes,0-1 yrs,1,0
EMP00043,Engineering,Senior Engineer,40.0,Male,Bachelor's,Single,15,0,90174.49,1.2,No,3.0,2.0,2,0,1,No,0-1 yrs,0,0
EMP01393,Marketing,Marketing Manager,52.0,Female,High School,Married,22,4,90216.7,4.6,No,2.0,1.0,2,0,3,No,4-6 yrs,0,0
EMP00676,Sales,Sales Manager,31.0,Male,Bachelor's,Single,5,5,59080.35,28.0,No,4.0,3.0,4,0,1,No,4-6 yrs,0,0
EMP00521,Engineering,Senior Engineer,24.0,Female,High School,Divorced,4,4,75517.09,1.6,Yes,1.0,1.0,3,0,2,Yes,4-6 yrs,1,1
EMP01162,Support,Support Lead,41.0,Female,Bachelor's,Divorced,15,12,70736.64,5.3,No,2.0,3.0,4,0,3,No,10+ yrs,0,0
EMP01342,Marketing,Marketing Manager,42.0,Female,Bachelor's,Single,23,2,89147.96,3.1,Yes,2.0,4.0,1,0,0,Yes,2-3 yrs,1,1
EMP00464,Finance,Accountant,43.0,Female,Bachelor's,Married,15,3,83402.13,10.2,Yes,3.0,4.0,3,1,2,No,2-3 yrs,0,1
EMP00212,Engineering,QA Engineer,23.0,Male,Master's,Married,0,0,75884.03,0.4,No,2.0,3.0,3,1,2,Yes,0-1 yrs,1,0
EMP00603,Engineering,QA Engineer,33.0,Female,High School,Single,11,1,84199.84,8.2,No,2.0,3.0,3,0,4,No,0-1 yrs,0,0
EMP01057,Sales,Sales Executive,36.0,Female,Bachelor's,Single,10,8,72216.52,17.6,No,1.0,1.0,3,1,0,Yes,7-10 yrs,1,0
EMP00838,Finance,Financial Analyst,27.0,Male,Bachelor's,Single,1,1,59051.17,21.5,No,4.0,2.0,3,0,5,Yes,0-1 yrs,1,0
EMP00510,Hr,Recruiter,50.0,Male,High School,Married,22,9,71435.2,4.5,No,2.0,3.0,4,1,0,No,7-10 yrs,0,0
EMP00569,Hr,HR Manager,22.0,Male,Bachelor's,Single,0,0,43548.79,6.7,Yes,3.0,2.0,3,1,1,Yes,0-1 yrs,1,1
EMP00406,Finance,Financial Analyst,38.0,Male,Master's,Single,13,2,96543.69,10.5,Yes,2.0,2.0,3,0,4,No,2-3 yrs,0,1
EMP01197,Sales,Account Manager,30.0,Male,High School,Divorced,10,2,63816.44,4.4,No,1.0,1.0,4,1,4,Yes,2-3 yrs,1,0
EMP00204,Support,Support Executive,29.0,Male,Bachelor's,Single,9,4,62014.3,9.9,No,3.0,1.0,2,0,3,No,4-6 yrs,0,0
EMP01018,Marketing,Marketing Executive,47.0,Male,Bachelor's,Married,24,0,102808.28,12.4,Yes,1.0,3.0,2,0,1,No,0-1 yrs,0,1
EMP01244,Engineering,Senior Engineer,21.0,Male,Master's,Divorced,0,0,77102.7,8.7,Yes,3.0,1.0,3,0,2,No,0-1 yrs,0,1
EMP01413,Sales,Sales Manager,42.0,Female,Master's,Married,12,0,91224.42,3.8,No,2.0,4.0,1,0,5,No,0-1 yrs,0,0
EMP00468,Marketing,Content Specialist,32.0,Male,Bachelor's,Single,8,8,70411.46,1.2,No,2.0,1.0,2,0,0,No,7-10 yrs,0,0
EMP00415,Hr,Recruiter,44.0,Male,Master's,Divorced,24,0,100315.9,8.9,Yes,4.0,2.0,4,0,2,No,0-1 yrs,0,1
EMP01003,Engineering,QA Engineer,42.0,Female,Master's,Married,16,1,102054.37,10.7,No,2.0,1.0,3,1,0,No,0-1 yrs,0,0
EMP00753,Engineering,Software Engineer,32.0,Male,Master's,Single,12,1,108637.07,1.8,No,4.0,3.0,1,0,0,No,0-1 yrs,0,0
EMP00103,Engineering,Senior Engineer,48.0,Female,Bachelor's,Married,29,3,126534.85,7.2,No,3.0,3.0,3,1,4,No,2-3 yrs,0,0
EMP00681,Hr,HR Manager,29.0,Female,PhD,Single,6,0,81975.24,15.0,No,1.0,4.0,3,0,1,No,0-1 yrs,0,0
EMP00637,Support,Support Lead,38.0,Female,Master's,Divorced,17,1,87371.76,9.2,No,2.0,1.0,3,1,1,Yes,0-1 yrs,1,0
EMP01385,Sales,Sales Executive,39.0,Male,Master's,Married,15,7,94048.44,6.2,No,1.0,3.0,3,0,2,Yes,7-10 yrs,1,0
EMP00235,Engineering,Engineering Manager,25.0,Male,PhD,Married,0,0,95989.7,13.4,No,2.0,1.0,4,0,5,No,0-1 yrs,0,0
EMP00943,Sales,Sales Executive,32.0,Female,Bachelor's,Married,14,0,72784.76,9.8,No,2.0,3.0,2,1,4,No,0-1 yrs,0,0
EMP00785,Finance,Finance Manager,21.0,Male,Bachelor's,Married,0,0,61540.4,0.2,No,4.0,3.0,2,0,2,Yes,0-1 yrs,1,0
EMP00872,Marketing,Marketing Executive,38.0,Female,Master's,Married,16,1,92445.41,0.2,No,2.0,3.0,1,1,0,No,0-1 yrs,0,0
EMP00792,Hr,HR Manager,38.0,Female,Master's,Married,17,0,92107.02,7.8,Yes,4.0,2.0,3,0,4,No,0-1 yrs,0,1
EMP00339,Marketing,Content Specialist,29.0,Male,Bachelor's,Married,6,0,73575.57,4.4,No,3.0,2.0,3,0,5,No,0-1 yrs,0,0
EMP01173,Support,Support Executive,45.0,Male,Master's,Married,22,2,90793.76,1.6,No,2.0,3.0,3,0,4,No,2-3 yrs,0,0
EMP00334,Sales,Sales Manager,26.0,Female,Bachelor's,Single,3,3,68298.95,5.5,Yes,1.0,4.0,3,0,4,No,2-3 yrs,0,1
EMP00646,Marketing,Content Specialist,35.0,Male,Bachelor's,Married,8,5,74416.81,3.4,No,1.0,1.0,3,0,0,No,4-6 yrs,0,0
EMP00580,Support,Support Executive,28.0,Male,Bachelor's,Single,3,0,47541.87,13.4,No,2.0,2.0,3,0,0,No,0-1 yrs,0,0
EMP00087,Support,Support Lead,30.0,Female,Master's,Single,9,3,73984.84,2.2,Yes,4.0,2.0,1,1,0,No,2-3 yrs,0,1
EMP01115,Engineering,Engineering Manager,35.0,Male,Master's,Divorced,17,0,121732.55,17.8,No,3.0,4.0,3,0,3,No,0-1 yrs,0,0
EMP00401,Finance,Finance Manager,38.0,Male,Bachelor's,Single,17,8,90904.25,18.2,No,4.0,4.0,4,0,0,No,7-10 yrs,0,0
EMP00373,Engineering,Support Executive,41.0,Female,Master's,Married,18,8,86108.48,22.8,Yes,4.0,4.0,3,0,4,No,7-10 yrs,0,1
EMP01431,Engineering,Software Engineer,31.0,Male,Master's,Married,13,9,113177.62,15.2,Yes,3.0,4.0,2,0,4,Yes,7-10 yrs,1,1
EMP01292,Engineering,Software Engineer,26.0,Male,Master's,Single,3,0,93407.16,1.7,No,2.0,4.0,3,0,1,Yes,0-1 yrs,1,0
EMP00482,Sales,Sales Executive,31.0,Male,PhD,Married,10,5,87223.45,5.4,No,3.0,1.0,2,1,3,No,4-6 yrs,0,0
EMP00058,Engineering,QA Engineer,31.0,Male,Master's,Single,12,5,106842.11,0.5,Yes,1.0,2.0,4,1,4,No,4-6 yrs,0,1
EMP00075,Support,Support Lead,32.0,Female,PhD,Single,6,3,76956.44,5.1,Yes,4.0,3.0,3,0,4,No,2-3 yrs,0,1
EMP00157,Engineering,Senior Engineer,25.0,Female,Bachelor's,Single,0,0,73390.67,0.8,Yes,4.0,2.0,2,1,1,Yes,0-1 yrs,1,1
